net profit / total assets,working capital / total assets,retained earnings / total assets ,book value of equity / total liabilities,sales / total assets,gross profit / short-term liabilities,(gross profit + depreciation) / sales,(total liabilities * 365) / (gross profit + depreciation),gross profit / total assets,gross profit / sales,profit on operating activities / total assets,gross profit (in 3 years) / total assets,(equity - share capital) / total assets,profit on operating activities / financial expenses,working capital / fixed assets,(gross profit + interest) / sales,operating expenses / short-term liabilities,profit on sales / total assets,total sales / total assets,constant capital / total assets,(current assets - inventory - receivables) / short-term liabilities,profit on operating activities / sales,(current assets - inventory) / short-term liabilities,EBITDA (profit on operating activities - depreciation) / total assets,EBITDA (profit on operating activities - depreciation) / sales,(short-term liabilities * 365) / cost of products sold) ,equity / fixed assets,working capital,total costs /total sales,long-term liabilities / equity,defaulted
0.1813,0.13601,0,0.54813,1.1145,0.11119,0.080952,2613.3,0.068758,0.061695,0.074444,0.26547,0.18549,9.8817,0.55371,0.061695,1.6819,0.074444,1.1145,0.35994,0.001017,0.066798,1.0566,0.052983,0.047541,0.59456,1.4414,10381.0,0.93841,0.016615,0
0.0089361,0.89232,0,13.394,0.40881999999999996,0.12862,0.82267,75.399,0.0089361,0.021858,0,?,0.92486,0,23.355,0.050024,0.32136,0.0022173,0.40882,0.93053,12.858,0,13.826,-0.32739,-0.80081,3.1118,24.355,7879.0,0.12785,0.0,0
0.015631,0.31049,0,0.97161,2.4878,0.036537,0.033651,2211.4,0.018532,0.0074491,0.018222,0.23947,0.43353,5.2783,1.7031,0.0084629,4.9116,-0.0034031,2.4878,0.4928,0.20281,0.0073247,0.99045,-0.046963,-0.018878,0.2036,2.7031,523.8,0.99265,0.0,0
-0.01359,0.30523,0.085621,0.45085,1.0007,-0.019246,0.0044104,28803,-0.012163,-0.0066982,0.018048,0.11508,0.28493,0.099453,4.8625,-0.0066982,2.8714,0.018048,1.8589,0.28493,0.11806,0.0099387,1.0963,-0.0021242,-0.0011698,0.34826,4.5391,3896.9,0.99934,0.0,0
-0.0071101,-0.070526,-0.08875,0.064655,1.0002,0.0043306,0.030849,5636,0.0025111,0.0012895,0.0063595,-0.080206,0.059976,0.032664,-0.14374,0.0012895,3.3577,0.0063595,1.9762,0.40774,0.028263,0.0032656,0.15533,-0.051205,-0.026294,0.29783,0.12223,-1864.3,0.99977,5.7985,0
0.092234,0.02565,-0.37206,0.11274,2.2152,0.10818,0.041636,3556.4,0.092234,0.041636,0,?,-0.11627,0,0.21065,0.083435,2.3901,0.010878,2.2152,0.10132,0.088133,0,0.69056,0,0,0.41839,0.83209,1414.6,0.94375,0.0,0
0.040356,0.2181,0.16421,1.8463,1.0388,0.12012,0.083175,1423.7,0.041144,0.038335,0.031219,0.16522,0.64287,0.30215,0.49639,0.038335,3.0165,0.031219,1.0969,0.64854,0.084665,0.029088,1.1966,-0.016907,-0.015752,0.33151,1.4631,23192.0,0.96269,0.008825399999999999,0
0.14127,0.22849,0.051217,1.155,1.1743,0.40854,0.15476,824.16,0.1752,0.1425,0.18469,0.066934,0.49624,1.7639,0.66684,0.1425,2.4415,0.18469,1.2493,0.49704,0.55031,0.15021,1.3445,0.16961,0.13795,0.40959,1.4482,34344.0,0.8516,0.0016108000000000001,0
0.06188099999999999,0.93742,0.0,39.688,0.45702,2.8344,0.21876,89.73,0.069662,0.15243,0.068631,0.075057,0.9053399999999999,146.16,24.664,0.15345,16.268,0.057182000000000004,0.45702,0.9754200000000001,25.15,0.15017,39.11,0.038317000000000004,0.083841,0.061469,25.664,802.57,0.85178,0,0
0.054495,0.30867,0.45654,2.2025,0.72419,0.29301,0.12263,1283.3,0.067156,0.092733,0.057743,0.23251,0.56946,12.857,0.66793,0.092733,2.7079,0.10998,0.72419,0.7708,0.63312,0.079734,1.6792,0.036089,0.049834,0.36929,1.4882,2.3468,0.83551,0.12075999999999999,0
0.026866,0.66104,0,4.8493,0.77153,0.18242,0.059554,1358.1,0.026866,0.034822,0,0.089766,0.64428,0,3.4484,0.082764,4.7967,0.0038156,0.77153,0.82904,3.2741,0,4.0005,-0.019082,-0.024733,0.20848,4.3248,6528.4,0.93931,0.0,0
-0.20454,-0.080636,-0.33255999999999997,-0.12919,1.7133,-0.28112,-0.099838,-2450.4,-0.20454,-0.11938,0.0,-0.56188,-0.5371,0,-0.2284,-0.23887,2.1026,0.051851999999999995,1.7133,0.25952,0.059699,0,0.47845,-0.033487,-0.019545,0.47559,-0.42023,-3960.2,0.90334,-2.7493,0
0.10615,0.10085,0.020241,0.98263,2.3356,0.30313,0.064489,1222.3,0.12932,0.05537,0.16213,0.29529,0.48083,4.2657,0.21342,0.059291,5.0947,0.1622,2.3356,0.57337,0.021599,0.069417,1.0446,0.14083,0.060299,0.19628,1.0489,343.71,0.94689,0.15688,0
0.073326,-0.16971,0,0.7368,1.8239,0.13474,0.055457,2077.7,0.073326,0.040202,0.091756,0.26015,0.40362,4.9785,-0.27133,0.040202,3.1839,0.091198,1.8239,0.45539,0.6298,0.050307,0.68449,0.063933,0.035053,0.31408,0.67823,-329.35,0.96011,0.07345299999999999,0
0.27947,0.37663,0,0.60432,1.9735,1.1813,0.18729,615.53,0.34826,0.17647,0.36505,0.55943,0.33228,21.123,1.1463,0.18457,5.441,0.36946,1.9735,0.7052,0.052042,0.18498,1.6309,0.34369,0.17416,0.18379,1.1465,4241.4,0.82507,0.8721200000000001,0
0.061086,0.13684,0,0.52377,1.4809999999999999,0.19437,0.10505,1539.7,0.079719,0.053828,0.12712,0.16795,0.31839,2.6799,0.30205,0.067563,3.3138,0.12229,1.481,0.50757,0.18205,0.085832,0.64484,0.051262,0.034613,0.30176,0.75874,2268.6,0.94974,0.47663999999999995,0
0.093428,0.3537,0,4.6315,1.1035,0.5417,0.1286,456.72,0.095031,0.086116,0.098135,0.31999,0.7517,4.3858,0.75116,0.086319,5.7118,0.1015,1.1035,0.82243,1.2261,0.088929,2.6497,0.051253,0.046445,0.17508,1.7466,28125.0,0.91588,0.0,0
-0.024179,-0.01889,-0.064224,0.90399,0.68156,-0.081225,0.021675,12977,-0.029605,-0.043437,0.016148,?,-0.088402,0.35181,-0.028866,-0.011908,1.8687,0.00045605,0.68156,0.60567,0.11006,0.023693,0.56081,-0.02823,-0.041419,0.53514,0.72553,-217.21,1.0422,0.27566,0
0.15221,0.4259,0.25954,0.9684,1.0795,0.38947,0.081123,889.2,0.18909,0.07356,0.18916,0.32299,0.49197,0.79437,4.8083,0.07356,4.9046,0.18916,2.5795,0.51448,0.062869,0.073588,1.7274,0.16972,0.066025,0.20389,5.5542,42236.0,0.92636,0.045749,0
-0.030888,0.029717,-0.10984,0.18323,1.0233,-0.12317,0.085912,3405.4,-0.027728,-0.026873,-0.0062683,-0.10553,0.15154,-0.062166,0.039879,-0.026873,4.4789,-0.0062683,1.0423,0.75346,0.085221,-0.006075,0.92148,-0.12264,-0.11886,0.22327,0.20336,5344.3,0.97723,3.9721,0
0.37277,0.51793,0.25471,1.7593,3.2069,1.2939,0.15449,267,0.46894,0.14623,0.48895,0.75842,0.62747,24.204,4.3282,0.14629,7.4712,0.49926,3.2069,0.63759,0.95508,0.15247,2.3625,0.46247,0.14421,0.13385,5.3282,2559.9,0.85403,0.0,0
0.02351,0.02949,0,1.9451,0.6866399999999999,0.14896,0.27318,660.71,0.02351,0.034239,0.042161,0.29724,0.38962,2.2383,0.036287,0.061422,4.1077,0.038341,0.68664,0.84158,0.30367,0.061403,1.0745,-0.1219,-0.17754,0.24345,0.81269,849.59,0.96645,0.27423000000000003,0
0.094879,0.62514,0,2.2209,3.5497,0.40471,0.039675,804.67,0.12565,0.035398,0.12186,0.31188,0.63291,4486.2,9.7087,0.035406,11.03,0.12511,3.5497,0.68953,0.9614,0.03433,2.8901,0.10668,0.030053,0.090661,10.709,1449.9,0.9647,0.0,0
0.015145,-0.031898,0.13712,0.72624,1.0109,0.041816,0.021277,4097.1,0.016711,0.0071089,0.028359,0.14874,0.40773,0.12196,-0.05045,0.0071089,5.8186,0.028359,2.3575,0.56953,0.018128,0.012064,0.62685,-0.0049454,-0.0021038,0.17186,0.64487,-1558.8,0.98919,0.39683,0
0.16976,-0.076958,0,0.79563,1.9905,0.37541,0.10486,973.89,0.16976,0.085281,0.1922,0.59975,0.10654,8.5641,-0.12318,0.096006,4.0287,0.16886,1.9905,0.54782,0.19928,0.096555,0.55968,0.15323,0.07698,0.24822,0.7092,-114.04,0.91571,0.23635,0
0.27391,0.10872,0.49474,2.0605,1.31,1.0639,0.20336,308.17,0.33763,0.18267,0.34191,0.61021,0.65387,2.4233,0.18942,0.18267,4.446,0.34191,1.8555,0.65387,0.0099906,0.18498,1.1971,0.30367,0.16429,0.22492,1.1393,1626.7,0.76335,0.0,0
0.034752,0.15202,-0.058321,0.7239,0.59295,0.059288,0.11644,3066.6,0.028438,0.047961,0.056655,0.11086,0.32508,2.0054,0.41276,0.078945,1.1714,0.031073,0.59295,0.5167,0.15871,0.095549,0.52659,0.01605,0.027069,0.85368,1.1401,15892.0,0.95447,0.23046999999999998,0
0.11881,0.20915,0.096699,0.70807,1.1256,0.36658,0.13681,1093.9,0.14417,0.10097,0.15138,0.11256,0.41454,1.1934,0.52608,0.10097,3.2255,0.15138,1.465,0.60673,0.036897,0.10602,0.88482,0.10021,0.07018,0.31003,1.0427,24969.0,0.8884,0.4636,0
0.035223,0.31506,7.5725e-005,63.507,0.26861,2.7629,0.2973,70.855,0.042632,0.15871,-0.018903,?,0.97407,-32.386,0.47059,0.15873,19.111,-0.026266,0.26861,0.9845,17.849,-0.070375,21.184,-0.056129,-0.20896,0.052327,1.4705,1510.3,0.87892,0.0,0
0.01481,-0.18635,0,0.20126,1.9928,0.023066,0.030037,5076.1,0.016642,0.008351,0.024533,0.10216,0.16365,2.371,-0.40087,0.013487,2.7252,0.026652,1.9928,0.24152,0.017894,0.01231,0.6666,-0.018683,-0.0093753,0.36695,0.36042,-2396.3,0.99171,0.44155,0
0.016921,-0.28162,0,0.17583,10.54,0.020179,0.004404,6687.3,0.016921,0.0016054,0.019818,0.11671,0.094964,3.1825,-0.63558,0.0021962,12.549,0.017549,10.54,0.14954,0.076575,0.0018803,0.47317,-0.0096795,-0.00091835,0.079687,0.33749,-465.39,0.99894,0.0,0
-0.22708,0.32844,-0.53152,1.2172,1.4057,-0.50347,-0.16154,-724.97,-0.22708,-0.16154,0,-0.34993,-0.75798,?,1.4893,-0.32309,2.9037,0.011371,1.4057,0.54898,0.41659,0,1.3638,0,0,0.34439,2.4893,754.91,0.93719,0.0,0
0.090792,0.5225,0.27933,4.3716,1.0936,0.62525,0.11567,417.63,0.11335,0.08275,0.11161,0.34782,0.7925,0.89105,1.7639,0.08275,6.9093,0.11161,1.4106,0.7925,0.73704,0.081481,2.4635,0.066517,0.048561,0.14473,2.6754,142470.0,0.91443,0.0,0
-0.066154,0.61704,-0.10409,12.072,0.84059,-0.9095,-0.1107,-601.33,-0.06445,-0.16586,-0.084921,-0.087074,0.85548,-1.8371,1.9771,-0.16586,6.5233,-0.084921,0.46033,0.85548,7.5359,-0.21855,8.6387,-0.10636,-0.27371,0.1533,2.7411,72599.0,1.1896,0.0,0
0.089763,0.27201,0,0.39279,3.2423,0.15435,0.041236,1960.1,0.11082,0.034179,0.12824,0.16242,0.19085,7.1365,27.192,0.038455,4.3372,0.12824,3.2423,0.28202,0.072344,0.039552,1.0927,0.10536,0.032495,0.23056,28.192,149.18,0.96583,0.0,0
0.4641,0.45346000000000003,0.0,1.6697,2.1269,1.5363,0.28055,229.12,0.5754600000000001,0.27056,0.57748,1.4558,0.5858399999999999,266.72,2.6369,0.27158,4.2184,0.5509,2.1577,0.62543,0.094633,0.27151,2.1811,0.55624,0.26152,0.23706,3.6369,1832.6,0.7333,0,0
0.12594,0.12761,-0.10337,0.34338,1.475,0.52566,0.087712,2100.1,0.12594,0.085385,0.0,0.026374,0.17793,0,0.20165,0.17077,5.1702,0.0066726,1.475,0.73473,0.18141,0,0.87654,-0.0034321999999999994,-0.002327,0.19342,0.40393,1642.8,0.8406,1.8744,0
0.060828,-0.1122,0,0.85988,0.70299,0.14976,0.14223,1962.7,0.060828,0.086527,0.07676,0.020139,0.060828,4.4957,-0.15892,0.11081,2.1218,-0.1588,0.70299,0.46233,0.37977,0.10919,0.46745,0.0376,0.053486,0.47131,0.65483,-288.3,0.93634,0.0,0
0.07484,0.5533,0.28562,12.042,1.0998,1.3395,0.17795,174.09,0.094628,0.11369,0.082967,0.37514,0.8507,1.0963,1.4713,0.11369,10.713,0.082967,0.85268,0.8507,3.9757,0.099682,5.7564,0.029483,0.035423,0.093345,2.2622,7435.1,0.90927,0.0,0
0.06249,0.33593,0,2.2872,2.3117,0.26887,0.031107,1544.1,0.06249,0.027032,0,0.31389,0.66516,0,0.77824,0.064756,8.5158,0.0014321,2.3117,0.75762,0.62236,0,1.0253,-0.0094201,-0.004075,0.11743,1.6119,658.19,0.88552,0.088865,0
0.10322,0.26411,0,0.78615,5.7595,0.2274,0.02454,1445.8,0.12731,0.022105,0.13323,0.23533,0.4175,14.237,1.5004,0.022912,10.061,0.12693,5.7595,0.44014,0.028125,0.023131,0.97099,0.1192,0.020696,0.099397,2.5004,1166.8,0.97796,0.0,0
-0.030819,0.11919,0.047185,0.85431,0.20951,-0.33112,-0.16627,-5650.4,-0.039826,-0.19009,-0.0069466,-0.00758,0.46071,-0.21127,0.15672,-0.19009,1.262,0.09654,0.20951,0.87972,0.59053,-0.033156,1.7617,-0.011937,-0.056974,0.79236,0.60578,1.9909999999999999,0.88145,0.90948,0
-0.18155,-0.015771,-0.36128,0.62433,0.91963,-0.31705,-0.10558,-1716.8,-0.18155,-0.15421,-0.15995,-0.36128,0.36503,-1.2494,-0.035588,-0.15421,2.2357,-0.15995,1.1999,0.37709,0.18816,-0.13586,0.51075,-0.21719,-0.18448,0.44729,0.8237,-1094.6,1.0874,0.033041,0
0.025483,0.19685,0.0055223,1.2457,1.0281,0.067739,0.033765,5112.8,0.029962,0.031825,0.012427,0.016789,0.55471,0.13571,0.54556,0.031825,2.0702,0.012427,0.96564,0.55768,0.37467,0.013199,1.1787,0.0106,0.011259,0.48303,1.5373,31904.0,0.97265,0.0053503,0
0.13522,0.31769,0.34729,0.53375,1.0422,0.20917,0.049729,1676.5,0.13522,0.047373,0.11583,0.34729,0.348,0.42295,8.8634,0.047373,4.2364,0.11583,2.8859,0.35353,0.097082,0.04058,1.1566,0.10911,0.038224,0.23605,9.7092,5848.2,0.95946,0.015880000000000002,0
0.095788,0.56322,0.2922,3.4705,1.0207,0.5635,0.042851,474.03,0.11868,0.031359,0.10235,0.35757,0.73094,0.27604,2.4903,0.031359,17.604,0.10235,3.8309,0.73094,2.6505,0.027043,3.328,0.058858,0.015552,0.056804,3.2319,13854.0,0.9797,0.0,0
0.56817,0.79769,0,15.268,5.3314,11.458,0.13723,30.667,0.70434,0.13211,0.7043,2.1641,0.70226,?,5.6636,0.13211,75.193,0.70934,5.3314,0.93853,5.9875,0.1321,7.1285,0.67703,0.12699,0.013299,6.6636,168.8,0.86863,0.0,0
0.0012944,-2.4839,0.16972,-0.68766,1.1197,0.00079331,0.02214,43359,0.0024871,0.0020865,0.10862,0.17091,-2.1558,1.0203,-7.1197,0.0020865,0.33958,0.10862,1.3097,-2.1558,0.0041742,0.091125,0.035148,0.084717,0.071072,2.9448,-6.1793,-46361.0,0.89311,0.0,0
0.21055,-0.22989,0,0.54,2.6494,0.62595,0.10807,827.8,0.21055,0.079473,0.24607,0.48896,0.21055,6.9286,-0.25728,0.092093,8.1195,-0.073076,2.6494,0.66304,0.042112,0.092878,0.31657,0.1703,0.064281,0.12316,0.39244,-1195.8,1.0443,0.89089,0
0.59458,0.21833,1.0643,0.6199,1.2344,1.0105,0.18832,339.05,0.59458,0.17677,0.60689,1.0643,0.36474,2.2273,1.1296,0.17677,4.6311,0.60689,3.3858,0.36474,0.028646,0.18043,1.3009,0.56806,0.16889,0.21593,1.8871,1436.5,0.81012,0.0,0
0.16664,0.39293,0,0.58753,3.7217,0.37508,0.05912,1045,0.21037,0.056526,0.19454,0.57076,0.33011,2.9608,8.5035,0.060072,6.5199,0.064869,3.7217,0.37009,0.25231,0.052271,1.018,0.18488,0.049677,0.15338,8.0093,5061.6,0.94665,0.0,0
0.22053,0.67047,0,2.8288,1.0357,1.1498,0.27844,330.56,0.28172,0.272,0.2831,0.44016,0.22053,117.13,7.9336,0.27201,3.0715,0.28316,1.0357,0.73882,0.53156,0.27333,3.4683,0.27643,0.26689,0.32558,8.7424,10441.0,0.72829,0.0,0
0.09102,0.68288,0.88491,10.253,2.1439,1.0243,0.11207,134.99,0.09102,0.042455,0.085331,0.26539,0.87352,675.07,2.9917,0.042455,23.17,0.084931,2.1439,0.91114,4.0084,0.039801,5.2536,-0.063921,-0.029815,0.043159,3.9917,907.6,0.95767,0.0,0
0.056188,0.014429,0.051846,1.3413,1.0839,0.18409,0.10949,1154.9,0.071634,0.058373,0.092935,0.071566,0.57024,0.82083,0.024192,0.058373,2.9097,0.092935,1.2316,0.60625,0.038592,0.075731,0.5895,0.030211,0.024618,0.34368,0.95605,243.42,0.92261,0.06315499999999999,0
0.016333,0.070261,0,2.3372,0.49726000000000004,0.4041,0.12362,1779.2,0.022882,0.046017,0.047432,0.037524,0.035033,1.9319,0.080471,0.09539,7.9626,0.046373,0.49726,0.94337,0.30009,0.095386,0.94333,0.0088413,0.01778,0.12559,0.80212,343.22,0.95568,0.34701,0
0.037889,0.021418,0.044848,0.27841,1.069,0.070527,0.078644,5064.6,0.038392,0.054462,0.053055,0.045312,0.21417,0.80461,0.049325,0.054462,1.2113,0.053055,0.71484,0.43905,0.0050653,0.075264,1.0273,0.036009,0.051082,0.82554,0.49321,740.28,0.93541,1.0501,0
0.051523,0.028298,-0.045538,5.4654,1.3919,0.33312,0.084362,480.76,0.051523,0.037015,0.0,0.005985,0.0059841,0,0.034635,0.078734,7.0632,1.9749e-06,1.3919,0.8453299999999999,0.28723,0,1.183,-0.06590399999999999,-0.047347,0.14158,1.0346,28.656999999999996,0.79526,0,0
0.019065,0.55798,0.0067305,1.3566,0.98625,0.12394,0.044202,690.57,0.018916,0.010365,0.010121,0.014356,0.20704,0.054697,1.9281,0.010365,12.124,0.010121,1.9205,0.20704,0.62868,0.005546,1.2988,-0.051628,-0.028291,0.082478,0.71541,7858.4,1.0139,0.0,0
0.037263,0.27438,0.0,3.1003,1.0859,0.45034,0.11755,697.36,0.047769,0.043988,0.060385,0.34507,0.75327,4.5872,0.44288,0.045475,10.011,0.024044,1.0859,0.75672,0.35109,0.055606,2.2564,-0.019497999999999998,-0.017955,0.099889,1.2204,4818.1,0.95766,0.00079836,0
-0.016351,-0.13601,-0.14495,0.67343,0.47121999999999997,-0.040671,0.016293,28410,-0.016351,-0.034699,-0.03265,-0.10144,-0.1613,-10.064,-0.1853,-0.027814,1.2401,-0.027325,0.47122,0.59798,0.032443,-0.069289,0.2355,-0.056678,-0.12028,0.8064,0.54827,-1568.2,1.0331,0.48593000000000003,0
-0.065271,0.01614,-0.23498,104.4,0.13548,-6.8804,-4.6671,-72.548,-0.065271,-6.3825,-0.064962,-0.23498,0.9904,-8.6059,0.016564,-6.3825,7.9571,-0.064962,0.011215,0.9904,0.28596,-6.3523,2.599,-0.082505,-8.0677,0.12567,1.0164,3097.5,7.3813,0.0,0
0.092579,0.16752,-0.26158,1.0049,2.3679,0.18562,0.08273,929.32,0.092579,0.039098,0.13604,-0.045542,-0.169,3.1285,0.50199,0.057462,4.6091,0.069021,2.3679,0.50123,0.080237,0.057453,0.83429,0.032727,0.013821,0.21696,1.502,24.994,0.96198,0.0,0
0.026978,0.28144,0.26783,0.92048,1.133,0.087096,0.17228,973.64,0.026978,0.02381,0,0.22263,0.35047,0,0.68844,0.047621,1.5615,0.0028986,1.133,0.69025,0.62524,0,1.0278,-0.16822,-0.14847,0.64042,1.1724,2333.7,0.52534,0.44013,0
-0.0049991,-0.34499,-0.10523,0.22203,1.001,-0.031474,0.014706,12568,-0.025224,-0.015938,-0.0011225,-0.11559,0.17794,-0.0070995,-0.63467,-0.015938,1.9728,-0.0011225,1.5832,0.17794,0.0081425,-0.00070923,0.3165,-0.049621,-0.031353,0.50689,0.32736,-2852.2,0.99898,0.0,0
0.15150999999999998,0.050289999999999994,0.0,0.71133,1.3205,0.378,0.24113,669.85,0.15150999999999998,0.11474,0.0,0.24516,0.3352,?,0.091623,0.26573,1.8898,4.0713e-05,1.3205,0.56628,0.036283,0,0.35484,-0.16689,-0.12639,0.52916,0.75729,312.52,0.57398,0.36237,0
0.00012473,0.44965,0.19634,0.6126,1.0181,0.0016986,0.032727,16434,0.00057217,0.0013652,0.0091113,0.24213,0.37834,0.22132,2.1061,0.0013652,1.2222,0.0091113,0.46338,0.65908,0.0046704,0.021739,0.47436,-0.0040331,-0.0096227,0.81822,1.7721,40771.0,0.98226,0.74203,0
0.0079526,0.15533,0,8.2857,0.54656,0.15338,0.01455,4942.7,0.0079526,0.01455,0,0.016749,0.034167,?,0.19592,0.0475,0,1.0497e-006,0.54656,0.89231,3.5884,0,3.9958,0,0,?,1.1255,147.97,0.00084506,0.0,0
0.25054,0.36028,0,1.2775,5.0729,0.85286,0.073407,430.37,0.3282,0.064698,0.40263,1.6911,0.55152,5.3994,1.4134,0.064705,12.122,0.40805,5.0729,0.56092,0.43296,0.079369,1.9362,0.35845,0.070659,0.082495,2.2006,1915.6,0.93536,0.0,0
0.042856,0.51568,0.13849,62.906,0.028664,5.6514,1.5802,63.048,0.043384,1.5135,0.04339,0.13358,0.47461,47.62,1.0819,1.5135,3.3089,0.0034584,0.028664,0.49232,67.229,1.5137,68.176,0.041479,1.4471,0.30221,1.0326,68.176,0.36913,0.00029941,0
0.084598,0.46127,-0.095298,1.7167,3.3819999999999997,0.27954,0.051314,774.17,0.098776,0.029206,0.040369,0.60326,0.44493,1.4707,2.4883,0.037322,9.4818,0.031564,3.382,0.63191,0.034286,0.011936,1.9633,-0.034399,-0.010171,0.10547,3.4088,370.04,0.97159,0.0,0
